country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_other,abs_reason_travelled,abs_reason_in_playground,abs_reason_school,nc_reason_others,nc_reason_nopvconcern,nc_reason_religious_cultural,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
BWA,KGALAGADI NORTH,KGALAGADI NORTH,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,23,37,60,22,35,57,3,Pass,high,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.05
BWA,KGALAGADI NORTH,KGALAGADI NORTH,BOT-2023-02-01_nOPV,nOPV2,Rnd2,19,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,29,31,60,27,27,54,6,Fail,moderate,0,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,16.67,0,0,66.67,16.67,0.1
BWA,KGALAGADI SOUTH,KGALAGADI SOUTH,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,KGALAGADI SOUTH,KGALAGADI SOUTH,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,KGATLENG,KGATLENG,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,29,31,60,19,15,34,26,Fail,very poor,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.43
BWA,KGATLENG,KGATLENG,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,KGATLENG DISTRICT COUNCIL,KGATLENG DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,6,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,11,9,20,10,9,19,41,Fail,very poor,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0,97.56,2.05
BWA,KWENENG DISTRICT COUNCIL,KWENENG DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,9,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,11,9,20,11,9,20,40,Fail,very poor,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
BWA,KWENENG EAST,KWENENG EAST,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,27,33,60,25,30,55,5,Fail,moderate,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.08
BWA,KWENENG EAST,KWENENG EAST,BOT-2023-02-01_nOPV,nOPV2,Rnd2,21,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,KWENENG WEST,KWENENG WEST,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,KWENENG WEST,KWENENG WEST,BOT-2023-02-01_nOPV,nOPV2,Rnd2,20,2023-03-27T00:00:00Z,2023-03-31,2023-04-01,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,LETLHAKENG DISTRICT COUNCIL,LETLHAKENG DISTRICT COUNCIL,BOT-2026-02-1_nOPV_NID,nOPV2,Rnd1,3,2026-05-05T00:00:00Z,2026-05-09,2026-05-10,6,14,20,6,14,20,40,Fail,very poor,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2
BWA,LOBATSE,LOBATSE,BOT-2023-02-01_nOPV,nOPV2,Rnd1,21,2023-02-23T00:00:00Z,2023-02-27,2023-02-28,24,36,60,22,31,53,7,Fail,moderate,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,71.43,0,0,0,28.57,0,0.12
