country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_farm,abs_reason_school,abs_reason_market,abs_reason_other,abs_reason_in_playground,abs_reason_travelled,nc_reason_others,nc_reason_no_felt_need,nc_reason_religious_cultural,nc_reason_no_care_giver_consent,nc_reason_child_sick,nc_reason_too_many_rnd,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SSUD,CENTRAL EQUATORIA,LAINYA,SSD-2024-10-01_nOPV2,nOPV2,Rnd1,21,2024-11-11T00:00:00Z,2024-11-15,2024-11-16,23,37,60,19,37,56,4,Fail,moderate,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.07
SSUD,CENTRAL EQUATORIA,MOROBO,RSS-2025-08-01_nOPV-sNID,nOPV2,Rnd2,21,2025-11-04T00:00:00Z,2025-11-08,2025-11-09,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,CENTRAL EQUATORIA,MOROBO,SSD-2024-02-01_nOPV2,nOPV2,Rnd2,21,2024-04-16T00:00:00Z,2024-04-20,2024-04-21,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSUD,CENTRAL EQUATORIA,MOROBO,SSD-2024-10-01_nOPV2,nOPV2,Rnd1,21,2024-11-11T00:00:00Z,2024-11-15,2024-11-16,34,26,60,30,24,54,6,Fail,moderate,0,0,3,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,50,0,16.67,33.33,0,0.1
SSUD,CENTRAL EQUATORIA,MOROBO,SSD-79DS-09-2020,nOPV2,Rnd2,21,2021-02-16T00:00:00Z,2021-02-20,2021-02-21,26,34,60,21,31,52,8,Fail,moderate,0,0,5,0,0,3,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,62.5,0,0,37.5,0,0.13
SSUD,CENTRAL EQUATORIA,TEREKEKA,RSS-2025-08-01_nOPV-sNID,nOPV2,Rnd1,21,2025-09-23T00:00:00Z,2025-09-27,2025-09-28,30,30,60,28,29,57,3,Pass,high,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
SSUD,CENTRAL EQUATORIA,TEREKEKA,RSSmOPV10C2021,nOPV2,Rnd1,17,2021-02-23T00:00:00Z,2021-02-27,2021-02-28,23,37,60,20,35,55,5,Fail,moderate,0,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,40,40,0,20,0,0,0.08
SSUD,CENTRAL EQUATORIA,TEREKEKA,RSSmOPV10C2021,nOPV2,Rnd2,21,2021-05-02T00:00:00Z,2021-05-06,2021-06-06,30,30,60,29,28,57,3,Pass,high,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,33.33,66.67,0,0,0,0,0.05
SSUD,CENTRAL EQUATORIA,TEREKEKA,SSD-2024-02-01_nOPV2,nOPV2,Rnd1,21,2024-02-27T00:00:00Z,2024-03-02,2024-03-03,31,29,60,16,15,31,29,Fail,very poor,0,16,2,0,0,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55.17,6.9,0,0,6.9,31.03,0.48
SSUD,CENTRAL EQUATORIA,TEREKEKA,SSD-2024-10-01_nOPV2,nOPV2,Rnd2,21,2025-02-04T00:00:00Z,2025-02-08,2025-02-09,31,29,60,13,14,27,33,Fail,very poor,0,13,4,0,1,9,6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,39.39,12.12,0,3.03,27.27,18.18,0.55
