country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_travelled,abs_reason_farm,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GUI,FARANAH,DINGUIRAYE,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,31,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,29,31,60,28,30,58,2,Pass,high,0,0,1,0,1,0,0,0,1,0,0,0,50,0,50,0,0,0.03
GUI,KANKAN,KANKAN,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,21,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,27,33,60,26,33,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,100,0,0,0,0,0.02
GUI,KANKAN,KEROUANE,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,18,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,20,40,60,20,39,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,100,0,0,0,0,0.02
GUI,KANKAN,KOUROUSSA,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,21,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,29,31,60,28,31,59,1,Pass,high,0,0,1,0,0,0,0,0,1,0,0,0,100,0,0,0,0,0.02
GUI,KANKAN,MANDIANA,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,20,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,28,32,60,28,28,56,4,Fail,moderate,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100,0,0.07
GUI,KANKAN,SIGUIRI,GUI-2024-10-NID_nOPV,nOPV2,Rnd1,21,2024-11-28T00:00:00Z,2024-12-02,2024-12-03,22,38,60,22,38,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
