country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_school,abs_reason_travelled,abs_reason_other,abs_reason_market,abs_reason_in_playground,abs_reason_farm,nc_reason_child_sick,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_covid_19,nc_reason_religious_cultural,nc_reason_too_many_rnd,nc_reason_others,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SEN,RM DAKAR,MBAO,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,20,40,60,14,32,46,14,Fail,poor,4,3,5,1,0,1,0,0,1,1,0,2,1,0,0,1,1,2,0,0,0,0,28.57,21.43,35.71,7.14,0,7.14,0,0.23
SEN,RM DAKAR,MBAO,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,26,34,60,26,33,59,1,Pass,high,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0.02
SEN,RM DAKAR,PIKINE,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,27,33,60,17,20,37,23,Fail,very poor,1,1,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.35,4.35,0,0,0,0,91.3,0.38
SEN,RM DAKAR,PIKINE,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,35,25,60,27,19,46,14,Fail,poor,2,1,8,3,0,0,0,0,5,2,0,1,0,0,0,0,1,0,1,0,0,0,14.29,7.14,57.14,21.43,0,0,0,0.23
SEN,RM DAKAR,RUFISQUE,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,22,38,60,20,28,48,12,Fail,poor,1,4,3,0,0,4,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,8.33,33.33,25,0,0,33.33,0,0.2
SEN,RM DAKAR,RUFISQUE,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,33,27,60,25,23,48,12,Fail,poor,0,3,3,0,1,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,25,25,0,8.33,41.67,0,0.2
SEN,RM DAKAR,SANGALKAM,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,31,29,60,21,20,41,19,Fail,poor,3,12,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,15.79,63.16,10.53,0,0,5.26,5.26,0.32
SEN,RM DAKAR,SANGALKAM,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,35,25,60,31,23,54,6,Fail,moderate,0,2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,16.67,0,0,50,0,0.1
SEN,RM DAKAR,YEUMBEUL,SEN_VPOn,nOPV2,Rnd1,21,2021-12-18T00:00:00Z,2021-12-22,2021-12-23,28,32,60,27,27,54,6,Fail,moderate,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.1
SEN,RM DAKAR,YEUMBEUL,SEN_VPOn,nOPV2,Rnd2,21,2022-02-27T00:00:00Z,2022-03-03,2022-03-04,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
