country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_market,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,nc_reason_covid_19,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_vaccines_safety,nc_reason_nopvconcern,nc_reason_child_sick,nc_reason_religious_cultural,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NAM,KAVANGO EAST,ANDARA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd0,6,2025-12-15T00:00:00Z,2025-12-19,2025-12-20,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,KAVANGO EAST,ANDARA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,23,37,60,18,28,46,14,Fail,poor,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.23
NAM,KAVANGO EAST,ANDARA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,12,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,39,21,60,36,21,57,3,Pass,high,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,33.33,0.05
NAM,KAVANGO EAST,NYANGANA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd0,21,2025-12-15T00:00:00Z,2025-12-19,2025-12-20,27,33,60,25,32,57,3,Pass,high,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,33.33,0.05
NAM,KAVANGO EAST,NYANGANA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,27,33,60,27,32,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
NAM,KAVANGO EAST,NYANGANA,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,25,35,60,25,34,59,1,Pass,high,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
NAM,KAVANGO EAST,RUNDU,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd0,6,2025-12-15T00:00:00Z,2025-12-19,2025-12-20,32,28,60,31,27,58,2,Pass,high,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
NAM,KAVANGO EAST,RUNDU,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,31,29,60,24,25,49,11,Fail,poor,0,3,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27.27,18.18,0,0,0,54.55,0.18
NAM,KAVANGO EAST,RUNDU,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,24,36,60,22,36,58,2,Pass,high,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.03
NAM,KAVANGO WEST,NCAMAGORO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd0,19,2025-12-15T00:00:00Z,2025-12-19,2025-12-20,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,KAVANGO WEST,NCAMAGORO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,21,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,KAVANGO WEST,NCAMAGORO,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,15,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,KAVANGO WEST,NKURENKURU,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd0,6,2025-12-15T00:00:00Z,2025-12-19,2025-12-20,32,28,60,32,27,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
NAM,KAVANGO WEST,NKURENKURU,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,6,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,37,23,60,37,22,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
NAM,KAVANGO WEST,NKURENKURU,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,21,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,22,38,60,21,37,58,2,Pass,high,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
NAM,KHARAS,KARASBURG,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,12,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,KHARAS,KARASBURG,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd2,15,2026-02-24T00:00:00Z,2026-02-28,2026-03-01,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,KHARAS,KEETMANSHOOP,NAM-2025-12-n_OPV-NIDs,nOPV2,Rnd1,6,2026-01-26T00:00:00Z,2026-01-30,2026-01-31,31,29,60,26,23,49,11,Fail,poor,0,8,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,72.73,27.27,0,0,0,0,0.18
