country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_other,abs_reason_school,abs_reason_travelled,abs_reason_farm,abs_reason_market,nc_reason_religious_cultural,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_others,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
NIG,AGADEZ,AGADEZ,NIG-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-25T00:00:00Z,2024-10-29,2024-10-30,33,27,60,32,27,59,1,Pass,high,0,0,1,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
NIG,AGADEZ,AGADEZ,NIG-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-12-02T00:00:00Z,2024-12-06,2024-12-07,28,32,60,28,31,59,1,Pass,high,0,0,1,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
NIG,AGADEZ,AGADEZ,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,21,2025-05-04T00:00:00Z,2025-05-08,2025-05-09,31,29,60,29,26,55,5,Fail,moderate,0,0,2,0,2,0,1,31.67,0,1,0,1,0,0,0,0,0,0,0,0,0,0,40,0,40,0,20,0.08
NIG,AGADEZ,AGADEZ,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,21,2025-06-13T00:00:00Z,2025-06-17,2025-06-18,34,26,60,33,25,58,2,Pass,high,0,0,1,0,0,1,0,78.33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.03
NIG,AGADEZ,ARLIT,CENBLOCK-nOPV,nOPV2,Rnd1,21,2022-06-05T00:00:00Z,2022-06-09,2022-06-11,35,25,60,33,25,58,2,Pass,high,0,0,0,0,0,2,0,41.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
NIG,AGADEZ,ARLIT,NIG-2023-05-01_nOPV,nOPV2,Rnd1,13,2023-05-26T00:00:00Z,2023-05-30,2023-05-31,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,AGADEZ,ARLIT,NIG-2023-05-01_nOPV,nOPV2,Rnd2,18,2023-06-19T00:00:00Z,2023-06-23,2023-06-24,30,30,60,29,29,58,2,Pass,high,0,0,0,0,0,2,0,78.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
NIG,AGADEZ,ARLIT,NIG-2024-06-01_nOPV,nOPV2,Rnd2,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,29,31,60,29,29,58,2,Pass,high,0,0,0,0,0,2,0,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
NIG,AGADEZ,ARLIT,NIG-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-25T00:00:00Z,2024-10-29,2024-10-30,34,26,60,21,14,35,25,Fail,very poor,0,0,0,0,0,25,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.42
NIG,AGADEZ,ARLIT,NIG-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-12-02T00:00:00Z,2024-12-06,2024-12-07,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,AGADEZ,ARLIT,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,19,2025-06-13T00:00:00Z,2025-06-17,2025-06-18,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIG,AGADEZ,BILMA,NIG-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,15,2025-05-04T00:00:00Z,2025-05-08,2025-05-09,27,23,50,27,23,50,10,Fail,poor,0,0,0,0,0,0,10,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.2
