country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_Non_Compliance,r_House_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_Giver_Informed_SIA,abs_reason_in_playground,abs_reason_travelled,abs_reason_farm,abs_reason_school,abs_reason_other,abs_reason_market,nc_reason_covid_19,nc_reason_child_sick,nc_reason_too_many_rnd,nc_reason_nopvconcern,nc_reason_vaccines_safety,nc_reason_no_felt_need,nc_reason_no_care_giver_consent,prct_r_Non_Compliance,prct_r_House_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
SIL,SOUTHERN,MOYAMBA,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,32,28,60,32,28,60,0,Pass,high,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,SOUTHERN,MOYAMBA,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,25,35,60,24,33,57,3,Pass,high,0,0,0,0,1,2,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,0,0.05
SIL,SOUTHERN,MOYAMBA,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,26,34,60,23,32,55,5,Fail,moderate,0,0,3,0,0,0,2,51.67,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,40,0.08
SIL,SOUTHERN,MOYAMBA,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-09,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,SOUTHERN,PUJEHUN,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,31,29,60,31,29,60,0,Pass,high,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,SOUTHERN,PUJEHUN,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,SOUTHERN,PUJEHUN,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,36,24,60,36,24,60,0,Pass,high,0,0,0,0,0,0,0,98.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,SOUTHERN,PUJEHUN,Sierra Leone,nOPV2,Rnd1,21,2021-05-29T00:00:00Z,2021-06-02,2021-06-04,38,22,60,38,22,60,0,Pass,high,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,SOUTHERN,PUJEHUN,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-09,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,WESTERN AREA,WESTERN RUR,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,35,25,60,30,20,50,10,Fail,poor,0,6,4,0,0,0,0,48.33,0,1,1,0,1,1,0,0,0,0,0,0,0,0,60,40,0,0,0,0,0.17
SIL,WESTERN AREA,WESTERN RUR,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,32,28,60,26,18,44,16,Fail,poor,0,10,5,1,0,0,0,50,0,1,0,1,3,0,0,0,0,0,0,0,0,0,62.5,31.25,6.25,0,0,0,0.27
SIL,WESTERN AREA,WESTERN RUR,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,32,28,60,23,22,45,15,Fail,poor,0,11,0,0,1,2,1,78.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,0,0,6.67,13.33,6.67,0.25
SIL,WESTERN AREA,WESTERN RUR,Sierra Leone,nOPV2,MOPUP,21,2021-08-27T00:00:00Z,2021-08-31,2021-09-02,31,29,60,23,25,48,12,Fail,poor,1,1,7,0,0,2,1,78.33,1,2,0,0,2,2,0,0,0,0,0,1,0,8.33,8.33,58.33,0,0,16.67,8.33,0.2
SIL,WESTERN AREA,WESTERN RUR,Sierra Leone,nOPV2,Rnd1,21,2021-05-29T00:00:00Z,2021-06-02,2021-06-04,28,32,60,13,20,33,27,Fail,very poor,0,13,4,0,0,7,3,43.33,0,3,0,0,1,0,0,0,0,0,0,0,0,0,48.15,14.81,0,0,25.93,11.11,0.45
SIL,WESTERN AREA,WESTERN RUR,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-09,43,17,60,34,12,46,14,Fail,poor,1,1,7,0,0,2,3,76.67,2,1,0,1,3,0,0,0,0,0,1,0,0,7.14,7.14,50,0,0,14.29,21.43,0.23
SIL,WESTERN AREA,WESTERN URB,SLE-2024-05-01_nOPV,nOPV2,Rnd1,21,2024-05-10T00:00:00Z,2024-05-14,2024-05-15,32,28,60,22,16,38,22,Fail,very poor,0,21,1,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,95.45,4.55,0,0,0,0,0.37
SIL,WESTERN AREA,WESTERN URB,SLE-2024-05-01_nOPV,nOPV2,Rnd2,21,2024-06-07T00:00:00Z,2024-06-11,2024-06-12,33,27,60,31,24,55,5,Fail,moderate,0,2,3,0,0,0,0,43.33,0,2,0,0,0,1,0,0,0,0,0,0,0,0,40,60,0,0,0,0,0.08
SIL,WESTERN AREA,WESTERN URB,SLE-2024-05-01_nOPV,nOPV2,Rnd3,21,2024-09-27T00:00:00Z,2024-10-01,2024-10-02,28,32,60,22,20,42,18,Fail,poor,2,9,1,0,0,6,0,21.67,0,0,0,1,0,0,0,0,0,0,0,0,2,11.11,50,5.56,0,0,33.33,0,0.3
SIL,WESTERN AREA,WESTERN URB,Sierra Leone,nOPV2,MOPUP,21,2021-08-27T00:00:00Z,2021-08-31,2021-09-02,26,34,60,21,26,47,13,Fail,poor,1,4,2,1,0,2,3,81.67,0,0,0,0,2,0,0,0,0,0,0,0,1,7.69,30.77,15.38,7.69,0,15.38,23.08,0.22
SIL,WESTERN AREA,WESTERN URB,Sierra Leone,nOPV2,Rnd1,21,2021-05-29T00:00:00Z,2021-06-02,2021-06-04,31,29,60,20,22,42,18,Fail,poor,0,13,4,0,0,0,1,80,0,2,0,0,2,0,0,0,0,0,0,0,0,0,72.22,22.22,0,0,0,5.56,0.3
SIL,WESTERN AREA,WESTERN URB,Sierra Leone,nOPV2,Rnd2,21,2021-07-03T00:00:00Z,2021-07-07,2021-07-09,27,33,60,27,33,60,0,Pass,high,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
