country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_school,abs_reason_market,abs_reason_farm,abs_reason_travelled,abs_reason_in_playground,abs_reason_other,nc_reason_religious_cultural,nc_reason_child_sick,nc_reason_vaccines_safety,nc_reason_too_many_rnd,nc_reason_covid_19,nc_reason_no_care_giver_consent,nc_reason_no_felt_need,nc_reason_others,nc_reason_nopvconcern,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
KEN,BUNGOMA,TONGAREN,KEN-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,23,37,60,22,34,56,4,Fail,moderate,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,25,0.07
KEN,BUNGOMA,TONGAREN,KEN-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,26,34,60,25,34,59,1,Pass,high,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0.02
KEN,BUNGOMA,WEBUYE EAST,KEN-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,23,37,60,22,37,59,1,Pass,high,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.02
KEN,BUNGOMA,WEBUYE EAST,KEN-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,BUNGOMA,WEBUYE WEST,KEN-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,BUNGOMA,WEBUYE WEST,KEN-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,BUSIA,BUNYALA,KEN-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,37,23,60,29,22,51,9,Fail,poor,0,3,2,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33.33,22.22,0,0,11.11,33.33,0.15
KEN,BUSIA,BUNYALA,KEN-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,23,37,60,23,37,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,BUSIA,BUTULA,KEN-2024-08-01_nOPV,nOPV2,Rnd1,20,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,BUSIA,BUTULA,KEN-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,BUSIA,MATAYOS,KEN-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,29,31,60,27,29,56,4,Fail,moderate,0,0,2,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0.07
KEN,BUSIA,MATAYOS,KEN-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,26,34,60,26,32,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
KEN,BUSIA,NAMBALE,KEN-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,32,28,60,29,26,55,5,Fail,moderate,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0,0.08
KEN,BUSIA,NAMBALE,KEN-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,23,37,60,23,37,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,BUSIA,SAMIA,KEN-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,34,26,60,30,23,53,7,Fail,moderate,0,3,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,42.86,57.14,0,0,0,0,0.12
KEN,BUSIA,SAMIA,KEN-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,30,30,60,28,29,57,3,Pass,high,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,33.33,0,66.67,0,0,0,0,0.05
KEN,BUSIA,TESO CENTRAL,KEN-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,28,32,60,25,32,57,3,Pass,high,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.05
KEN,BUSIA,TESO CENTRAL,KEN-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,30,30,60,27,28,55,5,Fail,moderate,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.08
KEN,BUSIA,TESO NORTH,KEN-2024-08-01_nOPV,nOPV2,Rnd1,21,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,26,34,60,26,29,55,5,Fail,moderate,1,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,20,0,40,0,0,0,40,0.08
KEN,BUSIA,TESO NORTH,KEN-2024-08-01_nOPV,nOPV2,Rnd2,21,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,22,38,60,22,38,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,BUSIA,TESO SOUTH,KEN-2024-08-01_nOPV,nOPV2,Rnd1,19,2024-10-02T00:00:00Z,2024-10-06,2024-10-07,27,33,60,26,32,58,2,Pass,high,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
KEN,BUSIA,TESO SOUTH,KEN-2024-08-01_nOPV,nOPV2,Rnd2,17,2024-11-09T00:00:00Z,2024-11-13,2024-11-14,36,24,60,35,24,59,1,Pass,high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.02
KEN,GARISSA,BALAMBALA,KEN-2023-08-01_nOPV,nOPV2,Rnd1,21,2023-08-24T00:00:00Z,2023-08-28,2023-08-29,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,BALAMBALA,KEN-2023-08-01_nOPV,nOPV2,Rnd2,21,2023-10-07T00:00:00Z,2023-10-11,2023-10-12,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,BALAMBALA,KEN-2024-11-01_nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,26,34,60,24,33,57,3,Pass,high,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,0,33.33,0,0.05
KEN,GARISSA,BALAMBALA,KEN-2024-11-01_nOPV,nOPV2,Rnd2,21,2025-04-11T00:00:00Z,2025-04-15,2025-04-16,18,42,60,18,42,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,DADAAB,KEN-13DS-02-2021,nOPV2,Rnd1,21,2021-05-22T00:00:00Z,2021-05-26,2021-05-27,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,DADAAB,KEN-13DS-02-2021,nOPV2,Rnd2,21,2021-07-17T00:00:00Z,2021-07-21,2021-07-22,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,DADAAB,KEN-2023-08-01_nOPV,nOPV2,Rnd1,21,2023-08-24T00:00:00Z,2023-08-28,2023-08-29,26,34,60,25,32,57,3,Pass,high,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
KEN,GARISSA,DADAAB,KEN-2023-08-01_nOPV,nOPV2,Rnd2,21,2023-10-07T00:00:00Z,2023-10-11,2023-10-12,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KEN,GARISSA,DADAAB,KEN-2024-11-01_nOPV,nOPV2,Rnd1,21,2025-02-21T00:00:00Z,2025-02-25,2025-02-26,24,36,60,24,36,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
