country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_travelled,abs_reason_farm,abs_reason_market,abs_reason_other,abs_reason_school,abs_reason_in_playground,nc_reason_religious_cultural,nc_reason_vaccines_safety,nc_reason_no_felt_need,nc_reason_child_sick,nc_reason_others,nc_reason_too_many_rnd,nc_reason_no_care_giver_consent,nc_reason_nopvconcern,nc_reason_covid_19,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
MOZ,CABO DELGADO,BALAMA,MOZ-2023-05-01_bOPV,bOPV,Rnd2,21,2023-09-15T00:00:00Z,2023-09-19,2023-09-20,30,30,60,30,30,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,BALAMA,MOZ-2025-05-1_nOPV_NID,nOPV2,Rnd1,21,2025-06-02T00:00:00Z,2025-06-06,2025-06-07,35,25,60,31,23,54,6,Fail,moderate,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33,16.67,0,0,0,0,0.1
MOZ,CABO DELGADO,BALAMA,MOZ-2025-05-1_nOPV_NID,nOPV2,Rnd2,21,2025-07-08T00:00:00Z,2025-07-12,2025-07-13,32,28,60,25,23,48,12,Fail,poor,0,2,10,0,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,83.33,0,0,0,0,0.2
MOZ,CABO DELGADO,CHIURE,MLW_WPV1,bOPV,Rnd1,21,2022-03-26T00:00:00Z,2022-03-30,2022-03-31,34,26,60,32,26,58,2,Pass,high,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.03
MOZ,CABO DELGADO,CHIURE,MLW_WPV1,bOPV,Rnd2,20,2022-04-01T00:00:00Z,2022-04-05,2022-05-05,19,41,60,19,41,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,CHIURE,MLW_WPV1,bOPV,Rnd3,19,2022-07-09T00:00:00Z,2022-07-13,2022-07-14,27,23,50,21,21,42,18,Fail,poor,0,1,7,0,0,0,10,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.56,38.89,0,0,0,55.56,0.36
MOZ,CABO DELGADO,CHIURE,MLW_WPV1,bOPV,Rnd4,24,2022-08-21T00:00:00Z,2022-08-25,2022-08-26,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,CHIURE,MLW_WPV1,bOPV,Rnd6,36,2022-12-13T00:00:00Z,2022-12-17,2022-12-18,34,26,60,18,13,31,29,Fail,very poor,0,14,11,0,0,4,0,0,3,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,48.28,37.93,0,0,13.79,0,0.48
MOZ,CABO DELGADO,CHIURE,MOZ-2023-05-01_bOPV,bOPV,Rnd1,18,2023-06-15T00:00:00Z,2023-06-19,2023-06-20,20,40,60,20,40,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,CHIURE,MOZ-2023-05-01_bOPV,bOPV,Rnd2,21,2023-09-15T00:00:00Z,2023-09-19,2023-09-20,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,CHIURE,MOZ-2025-05-1_nOPV_NID,nOPV2,Rnd1,22,2025-06-02T00:00:00Z,2025-06-06,2025-06-07,28,32,60,27,32,59,1,Pass,high,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.02
MOZ,CABO DELGADO,CHIURE,MOZ-2025-05-1_nOPV_NID,nOPV2,Rnd2,21,2025-07-08T00:00:00Z,2025-07-12,2025-07-13,24,36,60,23,35,58,2,Pass,high,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0.03
MOZ,CABO DELGADO,CHIURE,MOZ-2025-10-1_nOPV_sNID,nOPV2,Rnd1,21,2025-10-30T00:00:00Z,2025-11-03,2025-11-04,27,33,60,15,20,35,25,Fail,very poor,1,7,16,0,0,1,0,0,1,14,1,0,0,0,0,1,0,0,0,0,0,0,0,4,28,64,0,0,4,0,0.42
MOZ,CABO DELGADO,IBO,MLW_WPV1,bOPV,Rnd1,21,2022-03-26T00:00:00Z,2022-03-30,2022-03-31,23,37,60,23,37,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,CABO DELGADO,IBO,MLW_WPV1,bOPV,Rnd2,21,2022-05-01T00:00:00Z,2022-05-05,2022-06-05,36,24,60,35,23,58,2,Pass,high,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.03
