country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,total_missed,status,performance,r_non_compliance,r_house_not_visited,r_childabsent,r_Child_was_asleep,r_Child_is_a_visitor,r_Vaccinated_but_not_FM,other_r,percent_care_giver_informed_sia,abs_reason_travelled,abs_reason_market,abs_reason_other,abs_reason_farm,abs_reason_school,nc_reason_child_sick,nc_reason_no_felt_need,nc_reason_religious_cultural,nc_reason_too_many_rnd,nc_reason_no_care_giver_consent,nc_reason_others,nc_reason_vaccines_safety,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_Child_was_asleep,prct_r_Child_is_a_visitor,prct_r_Vaccinated_but_not_FM,prct_other_r,proportion_missed_child
GHA,AHAFO,ASUTIFI SOUTH,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,37,23,60,37,23,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,ASUTIFI SOUTH,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,29,31,60,29,25,54,6,Fail,moderate,0,0,6,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.1
GHA,AHAFO,ASUTIFI SOUTH,nOPV2022,nOPV2,Rnd1,21,2022-08-05T00:00:00Z,2022-08-09,2022-09-09,37,23,60,35,22,57,3,Pass,high,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,66.67,33.33,0,0,0,0.05
GHA,AHAFO,ASUTIFI SOUTH,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,TANO NORTH,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,29,31,60,29,31,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,TANO NORTH,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,26,34,60,26,34,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,TANO NORTH,nOPV2022,nOPV2,Rnd1,21,2022-07-05T00:00:00Z,2022-07-09,2022-08-09,27,33,60,22,29,51,9,Fail,poor,0,2,4,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,22.22,44.44,0,0,33.33,0,0.15
GHA,AHAFO,TANO NORTH,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,35,25,60,35,25,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,TANO SOUTH,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,33,27,60,32,26,58,2,Pass,high,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
GHA,AHAFO,TANO SOUTH,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,AHAFO,TANO SOUTH,nOPV2022,nOPV2,Rnd1,21,2022-07-05T00:00:00Z,2022-07-09,2022-09-09,30,30,60,28,29,57,3,Pass,high,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.05
GHA,AHAFO,TANO SOUTH,nOPV2022,nOPV2,Rnd2,21,2022-10-09T00:00:00Z,2022-10-13,2022-12-10,24,36,60,22,36,58,2,Pass,high,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0.03
GHA,ASHANTI,ADANSI AKROFUOM,AMANSIE SOUTH,nOPV2,Rnd1,21,2020-09-12T00:00:00Z,2020-09-16,2020-09-17,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,ASHANTI,ADANSI AKROFUOM,AMANSIE SOUTH,nOPV2,Rnd2,21,2020-10-09T00:00:00Z,2020-10-13,2020-10-14,28,32,60,28,32,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,ASHANTI,ADANSI AKROFUOM,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,30,30,60,29,26,55,5,Fail,moderate,1,0,4,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,20,0,80,0,0,0,0,0.08
GHA,ASHANTI,ADANSI AKROFUOM,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,33,27,60,33,27,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,ASHANTI,ADANSI AKROFUOM,nOPV2022,nOPV2,Rnd1,21,2022-10-05T00:00:00Z,2022-10-09,2022-11-09,35,25,60,29,22,51,9,Fail,poor,0,1,4,1,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,11.11,44.44,11.11,11.11,11.11,11.11,0.15
GHA,ASHANTI,ADANSI AKROFUOM,nOPV2022,nOPV2,Rnd2,21,2022-11-06T00:00:00Z,2022-11-10,2022-12-10,32,28,60,28,25,53,7,Fail,moderate,0,2,2,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,14.29,0,14.29,14.29,0.12
GHA,ASHANTI,ADANSI ASOKWA,AMANSIE SOUTH,nOPV2,Rnd1,21,2020-09-11T00:00:00Z,2020-09-15,2020-09-16,31,29,60,27,29,56,4,Fail,moderate,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0.07
GHA,ASHANTI,ADANSI ASOKWA,AMANSIE SOUTH,nOPV2,Rnd2,21,2020-10-09T00:00:00Z,2020-10-13,2020-10-14,25,35,60,25,35,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,ASHANTI,ADANSI ASOKWA,GHA-2024-10-01_nOPV,nOPV2,Rnd1,21,2024-10-17T00:00:00Z,2024-10-21,2024-10-22,31,29,60,29,26,55,5,Fail,moderate,0,0,5,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.08
GHA,ASHANTI,ADANSI ASOKWA,GHA-2024-10-01_nOPV,nOPV2,Rnd2,21,2024-11-21T00:00:00Z,2024-11-25,2024-11-26,34,26,60,34,26,60,0,Pass,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
