country,province,district,response,vaccine.type,roundNumber,numbercluster,round_start_date,start_date,end_date,year,male_sampled,female_sampled,total_sampled,male_vaccinated,female_vaccinated,total_vaccinated,missed_child,r_non_compliance,r_house_not_visited,r_childabsent,r_security,r_childnotborn,care_giver_informed_sia,percent_care_giver_informed_sia,total_missed,status,performance,tot_r,other_r,prct_r_non_compliance,prct_r_house_not_visited,prct_r_childabsent,prct_r_childnotborn,prct_r_security,prct_other_r
NIE,ADAMAWA,MAIHA,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,28,32,60,23,27,50,10,7,0,2,1,0,51,85,10,Fail,poor,10,0,70,0,20,0,10,0
NIE,ADAMAWA,MAYO BELWA,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,26,34,60,26,33,59,1,0,0,0,0,1,55,91.67,1,Pass,high,1,0,0,0,0,100,0,0
NIE,ADAMAWA,MICHIKA,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,39,21,60,39,21,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,ADAMAWA,MUBI NORTH,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,27,33,60,26,33,59,1,0,0,1,0,0,58,96.67,1,Pass,high,1,0,0,0,100,0,0,0
NIE,ADAMAWA,MUBI SOUTH,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,22,38,60,22,38,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,ADAMAWA,NUMAN,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,30,30,60,26,30,56,4,0,1,3,0,0,56,93.33,4,Fail,moderate,4,0,0,25,75,0,0,0
NIE,ADAMAWA,SHELLENG,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,27,33,60,24,32,56,4,0,3,1,0,0,60,100,4,Fail,moderate,4,0,0,75,25,0,0,0
NIE,ADAMAWA,SONG,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,28,32,60,28,32,60,0,0,0,0,0,0,50,83.33,0,Pass,high,0,0,0,0,0,0,0,0
NIE,ADAMAWA,TOUNGO,OBR_name,nOPV2,Rnd5,6,2026-05-03,2026-05-07,2026-05-08,2026,35,25,60,35,25,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,ADAMAWA,YOLA NORTH,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,36,24,60,36,24,60,0,0,0,0,0,0,35,58.33,0,Pass,high,0,0,0,0,0,0,0,0
NIE,ADAMAWA,YOLA SOUTH,OBR_name,nOPV2,Rnd5,6,2026-05-04,2026-05-08,2026-05-09,2026,31,29,60,31,29,60,0,0,0,0,0,0,58,96.67,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Abia,Aba North,NGA-2021-016-1,bOPV,Rnd6,6,2021-06-21,2021-06-25,2021-06-26,2021,32,28,60,26,19,45,15,4,5,6,0,0,26,43.33,15,Fail,poor,15,0,26.67,33.33,40,0,0,0
NIE,Abia,Aba North,NGA-2021-020-2,bOPV,Rnd9,1,2021-09-24,2021-09-28,2021-09-29,2021,6,4,10,5,3,8,2,1,0,1,0,0,9,90,52,Fail,very poor,2,50,1.92,0,1.92,0,0,96.15
NIE,Abia,Aba North,NIE-2023-07-03_nOPV,nOPV2,Rnd4,6,2023-12-14,2023-12-18,2023-12-19,2023,31,29,60,30,28,58,2,2,0,0,0,0,32,53.33,2,Pass,high,2,0,100,0,0,0,0,0
NIE,Abia,Aba North,NIE-2024-nOPV2,nOPV2,Rnd2,6,2024-04-20,2024-04-24,2024-04-25,2024,25,35,60,25,35,60,0,0,0,0,0,0,57,95,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Abia,Aba North,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,6,2025-06-10,2025-06-14,2025-06-15,2025,23,37,60,21,37,58,2,0,0,2,0,0,57,95,2,Pass,high,2,0,0,0,100,0,0,0
NIE,Abia,Aba North,OBR_name,bOPV,Rnd10,6,2021-09-28,2021-10-02,2021-10-03,2021,27,33,60,26,33,59,1,0,0,1,0,0,55,91.67,1,Pass,high,1,0,0,0,100,0,0,0
NIE,Abia,Aba North,OBR_name,bOPV,Rnd4,6,2022-04-11,2022-04-15,2022-04-16,2022,27,33,60,27,33,60,0,0,0,0,0,0,53,88.33,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Abia,Aba North,OBR_name,bOPV,Rnd5,6,2022-05-20,2022-05-24,2022-05-25,2022,39,21,60,39,21,60,0,0,0,0,0,0,59,98.33,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Abia,Aba North,OBR_name,bOPV,,6,2021-07-31,2021-08-04,2021-08-05,2021,33,27,60,31,27,58,2,1,0,1,0,0,28,46.67,2,Pass,high,2,0,50,0,50,0,0,0
NIE,Abia,Aba South,NGA-2021-016-1,bOPV,Rnd6,6,2021-06-21,2021-06-25,2021-06-26,2021,35,25,60,34,23,57,3,0,3,0,0,0,28,46.67,3,Pass,high,3,0,0,100,0,0,0,0
NIE,Abia,Aba South,NGA-20DS-01-2020,bOPV,,6,2020-02-16,2020-02-20,2020-02-21,2020,31,29,60,31,24,55,5,0,4,1,0,0,47,78.33,5,Fail,moderate,5,0,0,80,20,0,0,0
NIE,Abia,Aba South,NIE-2023-07-03_nOPV,fIPV+nOPV2,Rnd3,6,2023-09-18,2023-09-22,2023-09-23,2023,32,28,60,31,27,58,2,0,0,2,0,0,59,98.33,2,Pass,high,2,0,0,0,100,0,0,0
NIE,Abia,Aba South,NIE-2024-nOPV2,nOPV2,Rnd1,6,2024-03-02,2024-03-06,2024-03-07,2024,36,24,60,35,23,58,2,2,0,0,0,0,59,98.33,2,Pass,high,2,0,100,0,0,0,0,0
NIE,Abia,Aba South,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,6,2025-04-22,2025-04-26,2025-04-27,2025,34,26,60,34,26,60,0,0,0,0,0,0,55,91.67,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Abia,Aba South,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,6,2025-06-10,2025-06-14,2025-06-15,2025,27,33,60,26,33,59,1,0,1,0,0,0,35,58.33,1,Pass,high,1,0,0,100,0,0,0,0
NIE,Abia,Aba South,OBR_name,bOPV,Rnd10,6,2021-09-28,2021-10-02,2021-10-03,2021,35,25,60,31,22,53,7,3,1,2,1,0,28,46.67,7,Fail,moderate,7,0,42.86,14.29,28.57,0,14.29,0
NIE,Abia,Aba South,OBR_name,bOPV,Rnd4,6,2022-04-11,2022-04-15,2022-04-16,2022,36,24,60,30,21,51,9,2,7,0,0,0,53,88.33,9,Fail,poor,9,0,22.22,77.78,0,0,0,0
NIE,Abia,Aba South,OBR_name,bOPV,Rnd5,6,2022-05-20,2022-05-24,2022-05-25,2022,25,35,60,25,35,60,0,0,0,0,0,0,55,91.67,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Abia,Aba South,OBR_name,bOPV,,6,2021-08-02,2021-08-06,2021-08-07,2021,34,26,60,34,25,59,1,0,1,0,0,0,10,16.67,1,Pass,high,1,0,0,100,0,0,0,0
NIE,Abia,Arochukwu,NGA-2021-016-1,bOPV,Rnd6,6,2021-06-14,2021-06-18,2021-06-19,2021,32,28,60,31,27,58,2,0,0,2,0,0,42,70,2,Pass,high,2,0,0,0,100,0,0,0
NIE,Abia,Arochukwu,NGA-20DS-01-2020,bOPV,,6,2020-02-16,2020-02-20,2020-02-21,2020,28,32,60,26,29,55,5,0,2,3,0,0,52,86.67,5,Fail,moderate,5,0,0,40,60,0,0,0
NIE,Abia,Arochukwu,NIE-2023-07-03_nOPV,fIPV+nOPV2,Rnd3,6,2023-09-18,2023-09-22,2023-09-23,2023,32,28,60,31,27,58,2,0,0,2,0,0,52,86.67,2,Pass,high,2,0,0,0,100,0,0,0
NIE,Abia,Arochukwu,NIE-2024-nOPV2,nOPV2,Rnd1,6,2024-03-02,2024-03-06,2024-03-07,2024,32,28,60,31,28,59,1,0,1,0,0,0,60,100,1,Pass,high,1,0,0,100,0,0,0,0
NIE,Abia,Arochukwu,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,6,2025-04-22,2025-04-26,2025-04-27,2025,32,28,60,32,28,60,0,0,0,0,0,0,58,96.67,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Abia,Arochukwu,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,6,2025-06-10,2025-06-14,2025-06-15,2025,32,28,60,32,28,60,0,0,0,0,0,0,49,81.67,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Abia,Arochukwu,OBR_name,bOPV,Rnd4,6,2022-04-11,2022-04-15,2022-04-16,2022,28,32,60,28,31,59,1,0,1,0,0,0,58,96.67,1,Pass,high,1,0,0,100,0,0,0,0
NIE,Abia,Arochukwu,OBR_name,bOPV,Rnd5,6,2022-05-20,2022-05-24,2022-05-25,2022,29,31,60,29,31,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Abia,Arochukwu,OBR_name,bOPV,,6,2021-08-02,2021-08-06,2021-08-07,2021,35,25,60,35,25,60,0,0,0,0,0,0,57,95,0,Pass,high,0,0,0,0,0,0,0,0
NIE,Abia,Bende,NGA-2021-016-1,bOPV,Rnd6,6,2021-06-14,2021-06-18,2021-06-19,2021,35,25,60,34,25,59,1,1,0,0,0,0,40,66.67,1,Pass,high,1,0,100,0,0,0,0,0
NIE,Abia,Bende,NGA-2021-020-2,bOPV,Rnd9,1,2021-09-24,2021-09-28,2021-09-29,2021,5,5,10,5,5,10,0,0,0,0,0,0,9,90,50,Fail,very poor,0,50,0,0,0,0,0,100
NIE,Abia,Bende,NGA-20DS-01-2020,bOPV,,6,2020-02-16,2020-02-20,2020-02-21,2020,37,23,60,36,23,59,1,0,1,0,0,0,49,81.67,1,Pass,high,1,0,0,100,0,0,0,0
NIE,Abia,Bende,NIE-2023-07-03_nOPV,fIPV+nOPV2,Rnd3,6,2023-09-18,2023-09-22,2023-09-23,2023,34,26,60,33,26,59,1,0,0,1,0,0,60,100,1,Pass,high,1,0,0,0,100,0,0,0
NIE,Abia,Bende,NIE-2024-nOPV2,nOPV2,Rnd1,6,2024-03-02,2024-03-06,2024-03-07,2024,23,37,60,22,37,59,1,0,1,0,0,0,49,81.67,1,Pass,high,1,0,0,100,0,0,0,0
NIE,Abia,Bende,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd1,6,2025-04-22,2025-04-26,2025-04-27,2025,30,30,60,30,29,59,1,0,0,1,0,0,50,83.33,1,Pass,high,1,0,0,0,100,0,0,0
NIE,Abia,Bende,NIE-2025-04-01_nOPV_NIDs,nOPV2,Rnd2,6,2025-06-10,2025-06-14,2025-06-15,2025,27,33,60,27,33,60,0,0,0,0,0,0,60,100,0,Pass,high,0,0,0,0,0,0,0,0
